density,agents,seed,method,success,expansions,cost,runtime
0.0,6,0,cardinal,1,3,29,0.0007
0.0,6,0,linear,1,3,29,0.00076
0.0,6,0,mlp,1,3,29,0.00063
0.0,6,1,cardinal,1,3,37,0.00126
0.0,6,1,linear,1,2,37,0.00101
0.0,6,1,mlp,1,2,37,0.00093
0.0,6,2,cardinal,1,1,28,0.00023
0.0,6,2,linear,1,1,28,0.00022
0.0,6,2,mlp,1,1,28,0.00022
0.0,6,3,cardinal,1,2,30,0.00044
0.0,6,3,linear,1,2,30,0.00055
0.0,6,3,mlp,1,2,30,0.00065
0.0,6,4,cardinal,1,12,33,0.00276
0.0,6,4,linear,1,12,33,0.00298
0.0,6,4,mlp,1,12,33,0.00311
0.0,6,5,cardinal,1,2,29,0.00037
0.0,6,5,linear,1,2,29,0.00037
0.0,6,5,mlp,1,2,29,0.00035
0.0,6,6,cardinal,1,1,39,0.00043
0.0,6,6,linear,1,1,39,0.00036
0.0,6,6,mlp,1,1,39,0.00055
0.0,6,7,cardinal,1,10,38,0.00393
0.0,6,7,linear,1,6,38,0.00221
0.0,6,7,mlp,1,11,38,0.0042
0.0,6,8,cardinal,1,7,30,0.00152
0.0,6,8,linear,1,7,30,0.00157
0.0,6,8,mlp,1,7,30,0.00159
0.0,6,9,cardinal,1,3,35,0.00069
0.0,6,9,linear,1,3,35,0.00075
0.0,6,9,mlp,1,3,35,0.00065
0.0,6,10,cardinal,1,2,40,0.00098
0.0,6,10,linear,1,2,40,0.001
0.0,6,10,mlp,1,2,40,0.00098
0.0,6,11,cardinal,1,1,26,0.00022
0.0,6,11,linear,1,1,26,0.00021
0.0,6,11,mlp,1,1,26,0.00024
0.0,6,12,cardinal,1,2,33,0.00054
0.0,6,12,linear,1,2,33,0.00062
0.0,6,12,mlp,1,2,33,0.00056
0.0,6,13,cardinal,1,2,31,0.00044
0.0,6,13,linear,1,2,31,0.00045
0.0,6,13,mlp,1,2,31,0.0006
0.0,6,14,cardinal,1,2,33,0.00071
0.0,6,14,linear,1,2,33,0.00073
0.0,6,14,mlp,1,2,33,0.00072
0.0,6,15,cardinal,1,1,30,0.00024
0.0,6,15,linear,1,1,30,0.00025
0.0,6,15,mlp,1,1,30,0.00025
0.0,6,16,cardinal,1,2,26,0.00031
0.0,6,16,linear,1,2,26,0.00034
0.0,6,16,mlp,1,2,26,0.00032
0.0,6,17,cardinal,1,5,27,0.0011
0.0,6,17,linear,1,5,27,0.00117
0.0,6,17,mlp,1,5,27,0.00116
0.0,6,18,cardinal,1,2,24,0.00043
0.0,6,18,linear,1,2,24,0.00045
0.0,6,18,mlp,1,2,24,0.00047
0.0,6,19,cardinal,1,3,22,0.00047
0.0,6,19,linear,1,3,22,0.00054
0.0,6,19,mlp,1,3,22,0.00053
0.0,6,20,cardinal,1,3,25,0.00082
